Jour;Catégorie client;Puissance moyenne journalière (W)
2017-12-18;Résidentiels;26889957226.0
2017-12-18;Professionnels;6356390829.0
2017-12-16;Résidentiels;27923145018.0
2017-12-12;Résidentiels;26341262437.0
2017-12-11;PME / PMI;6999994771.0
2017-12-11;Professionnels;6239551290.0
2017-12-08;Résidentiels;25929876382.0
2017-12-08;Entreprises;14997073291.0
2017-12-05;PME / PMI;7048419851.0
2017-12-02;PME / PMI;6060088214.0
2017-12-01;PME / PMI;7342238526.0
2017-11-30;Résidentiels;26251275109.0
2017-11-28;Résidentiels;23417629922.0
2017-11-27;Entreprises;14716594987.0
2017-11-24;Résidentiels;18811455992.0
2017-11-23;Résidentiels;18230056024.0
2017-11-19;Résidentiels;24168259181.0
2017-11-18;Entreprises;10707655091.0
2017-11-17;PME / PMI;6050412642.0
2017-11-15;Entreprises;15038682026.0
2017-11-14;PME / PMI;6654924457.0
2017-11-11;PME / PMI;4288966821.0
2017-11-03;Résidentiels;16327838783.0
2017-11-02;Professionnels;5076091227.0
2017-10-30;Professionnels;4776604553.0
2017-10-26;Entreprises;14217997906.0
2017-10-26;PME / PMI;4948964077.0
2017-10-24;Résidentiels;13652389075.0
2017-10-23;Entreprises;13475348809.0
2017-10-22;Entreprises;8668624339.0
2017-10-21;PME / PMI;3844326224.0
2017-10-20;Résidentiels;12370444965.0
2017-10-20;PME / PMI;4762015767.0
2017-10-18;Entreprises;14178856026.0
2017-10-13;Entreprises;13816592042.0
2017-10-12;Résidentiels;12092129356.0
2017-10-11;PME / PMI;4875445461.0
2017-10-11;Professionnels;4324930960.0
2017-10-10;Résidentiels;12867215247.0
2017-10-09;Résidentiels;13442880804.0
2017-10-09;PME / PMI;4744854424.0
2017-10-06;PME / PMI;4924060043.0
2017-10-06;Professionnels;4407810599.0
2017-10-05;PME / PMI;5030226730.0
2017-10-04;Entreprises;14171059976.0
2017-10-04;PME / PMI;4812012411.0
2017-10-03;Entreprises;14177459498.0
2017-10-03;Professionnels;4206849085.0
2017-09-28;Professionnels;4094464556.0
2017-09-26;Entreprises;14277758839.0
2017-09-24;Résidentiels;12821088002.0
2017-09-24;PME / PMI;3188139838.0
2017-09-23;Entreprises;10043440736.0
2017-09-21;Résidentiels;12194912790.0
2017-09-19;Entreprises;14299739124.0
2017-09-16;Professionnels;3889332287.0
2017-09-15;Professionnels;4240694757.0
2017-09-12;PME / PMI;4903848799.0
2017-09-06;PME / PMI;4702610703.0
2017-09-06;Professionnels;3843123606.0
2017-09-05;Professionnels;3900261014.0
2017-09-04;Professionnels;3627357288.0
2017-09-02;Entreprises;9723742787.0
2017-08-31;Professionnels;3824018716.0
2017-08-26;Résidentiels;11162534730.0
2017-08-26;Entreprises;10165126371.0
2017-08-26;Professionnels;3555286390.0
2017-08-25;Professionnels;3840962429.0
2017-08-23;PME / PMI;4710282976.0
2017-08-21;Résidentiels;10596332103.0
2017-08-18;Professionnels;3762022624.0
2017-08-14;PME / PMI;3999393328.0
2017-08-14;Professionnels;3447321781.0
2017-08-11;PME / PMI;4549356282.0
2017-08-07;Résidentiels;10533413812.0
2017-08-06;Professionnels;3044391308.0
2017-08-01;Résidentiels;10631967420.0
2017-08-01;Entreprises;12964922557.0
2017-08-01;PME / PMI;5017523438.0
2017-07-29;Résidentiels;11003644093.0
2017-07-29;PME / PMI;4252439034.0
2017-07-29;Professionnels;3478534836.0
2017-07-28;Entreprises;13323198539.0
2017-07-26;Professionnels;3704682005.0
2017-07-25;Professionnels;3697759901.0
2017-07-22;Résidentiels;10890247523.0
2017-07-21;Résidentiels;10543862638.0
2017-07-21;Professionnels;3842997767.0
2017-07-19;PME / PMI;5266663141.0
2017-07-18;Résidentiels;10826381236.0
2017-07-15;Résidentiels;10675525178.0
2017-07-14;Entreprises;11063987703.0
2017-07-13;Résidentiels;10328037766.0
2017-07-10;Résidentiels;10651517757.0
2017-07-10;PME / PMI;5013742640.0
2017-07-10;Professionnels;3599689181.0
2017-07-09;PME / PMI;3751046486.0
2017-07-08;Entreprises;11229851319.0
2017-07-05;Professionnels;3871362966.0
2017-07-04;PME / PMI;5075952175.0
2017-07-01;Entreprises;10169672921.0
2017-06-29;Résidentiels;10148906622.0
2017-06-29;PME / PMI;4941276576.0
2017-06-27;Professionnels;3958617361.0
2017-06-26;Entreprises;14073196286.0
2017-06-22;Entreprises;15817802853.0
2017-06-21;Résidentiels;11302913388.0
2017-06-19;PME / PMI;5216048764.0
2017-06-18;Entreprises;9406971801.0
2017-06-18;PME / PMI;3613343704.0
2017-06-12;Professionnels;3594999029.0
2017-06-09;Professionnels;3848205104.0
2017-06-08;Résidentiels;10440380029.0
2017-06-08;Professionnels;3849530420.0
2017-06-06;Entreprises;13574534741.0
2017-06-04;Professionnels;2849100798.0
2017-06-03;Entreprises;10226760134.0
2017-06-01;Résidentiels;10531519696.0
2017-05-31;Résidentiels;10634678724.0
2017-05-28;Entreprises;8812469829.0
2017-05-27;Entreprises;10008957915.0
2017-05-26;Résidentiels;11691182157.0
2017-05-25;Entreprises;10807035937.0
2017-05-24;Professionnels;3702068452.0
2017-05-23;Entreprises;14053087853.0
2017-05-22;PME / PMI;4628614064.0
2017-05-21;Entreprises;8444924565.0
2017-05-19;PME / PMI;4748630118.0
2017-05-16;Professionnels;3769779867.0
2017-05-15;Entreprises;13143716260.0
2017-05-14;Entreprises;8418545300.0
2017-05-12;PME / PMI;4819730883.0
2017-05-11;Résidentiels;12882982235.0
2017-05-09;Entreprises;13452149037.0
2017-05-04;Résidentiels;15372583319.0
2017-05-04;Entreprises;14031388451.0
2017-05-03;Entreprises;14079399232.0
2017-05-02;Professionnels;4732007317.0
2017-05-01;Résidentiels;17405862404.0
2017-04-29;PME / PMI;4055183518.0
2017-04-26;Entreprises;14365771184.0
2017-04-25;Entreprises;14135629641.0
2017-04-23;Professionnels;3426213774.0
2017-04-21;Professionnels;4719792209.0
2017-04-20;Résidentiels;17132626952.0
2017-04-19;Résidentiels;16528740043.0
2017-04-17;Professionnels;3429073261.0
2017-04-14;Entreprises;13240422691.0
2017-04-13;PME / PMI;4909551626.0
2017-04-10;PME / PMI;5020980610.0
2017-04-10;Professionnels;3994603489.0
2017-04-06;Entreprises;14102809485.0
2017-04-04;Résidentiels;14103343845.0
2017-04-04;PME / PMI;5395778570.0
2017-04-03;PME / PMI;5387435693.0
2017-04-01;Professionnels;4120647983.0
2017-03-28;Professionnels;4640577124.0
2017-03-25;PME / PMI;4768182061.0
2017-03-22;Entreprises;14583433973.0
2017-03-22;PME / PMI;5999897490.0
2017-03-20;Résidentiels;17138633426.0
2017-03-18;Professionnels;4692212940.0
2017-03-16;Résidentiels;16329085537.0
2017-03-16;Professionnels;4868070696.0
2017-03-11;Résidentiels;18176518146.0
2017-03-10;PME / PMI;5613204231.0
2017-03-09;Professionnels;5533274490.0
2017-03-07;PME / PMI;6617900499.0
2017-03-06;Entreprises;14298702435.0
2017-02-19;Professionnels;4894324686.0
2017-02-16;Résidentiels;20442306564.0
2017-02-15;PME / PMI;6102170202.0
2017-02-13;Entreprises;14483982182.0
2017-02-10;Résidentiels;26943398299.0
2017-02-08;Entreprises;15323444739.0
2017-02-06;Professionnels;6318253955.0
2017-02-04;Entreprises;10778688241.0
2017-02-03;Entreprises;14519924495.0
2017-02-01;Professionnels;5999585280.0
2017-01-31;Professionnels;6156059505.0
2017-01-30;Entreprises;14770476537.0
2017-01-28;Résidentiels;27796586821.0
2017-01-25;Résidentiels;32612468357.0
2017-01-24;Entreprises;16379575983.0
2017-01-23;Entreprises;15498053771.0
2017-01-23;Professionnels;7537344421.0
2017-01-18;Résidentiels;33287041572.0
2017-01-16;Entreprises;15238647878.0
2017-01-15;Professionnels;6008699699.0
2017-01-11;PME / PMI;7061935815.0
2017-01-06;PME / PMI;7134352059.0
2017-01-06;Professionnels;7684164123.0
2017-01-05;Professionnels;7387116084.0
2016-12-30;Professionnels;7131815938.0
2016-12-29;Entreprises;11949850805.0
2016-12-27;Entreprises;11619711384.0
2016-12-25;PME / PMI;4570839892.0
2016-12-24;Entreprises;9075470375.0
2016-12-24;Professionnels;5381554106.0
2016-12-23;Professionnels;6443451653.0
2016-12-22;Résidentiels;25470777171.0
2016-12-20;Résidentiels;26652769909.0
2016-12-19;Entreprises;14392809782.0
2016-12-17;Professionnels;5646874166.0
2016-12-12;Professionnels;6016253503.0
2016-12-11;Entreprises;9805399621.0
2016-12-07;PME / PMI;6543109059.0
2016-12-06;Résidentiels;24212290880.0
2016-12-01;Résidentiels;26053814534.0
2016-11-28;PME / PMI;6598557342.0
2016-11-28;Professionnels;5976979227.0
2016-11-25;Professionnels;5691968490.0
2016-11-24;Professionnels;5664319436.0
2016-11-20;Entreprises;9122071363.0
2016-11-18;Entreprises;14249711368.0
2016-11-14;Entreprises;14330572155.0
2016-11-11;Professionnels;4608067088.0
2016-11-09;Résidentiels;22773111056.0
2016-11-05;Professionnels;4741909515.0
2016-11-04;Résidentiels;19574650336.0
2016-11-03;PME / PMI;5990817986.0
2016-11-03;Professionnels;5444614939.0
2016-11-02;Résidentiels;16653641074.0
2016-10-30;Entreprises;8717933261.0
2016-10-28;Entreprises;13736684225.0
2016-10-28;Professionnels;4963947145.0
2016-10-27;Professionnels;5001173193.0
2016-10-26;Entreprises;14278019096.0
2016-10-26;Professionnels;4883504260.0
2016-10-23;Résidentiels;19135687951.0
2016-10-18;Entreprises;14445936224.0
2016-10-09;Professionnels;3543139917.0
2016-10-07;Résidentiels;13713558208.0
2016-10-04;Résidentiels;12017867887.0
2016-10-04;Professionnels;4196778301.0
2016-10-02;Professionnels;3151959230.0
2016-10-01;Entreprises;9858469485.0
2016-09-28;Résidentiels;11087986867.0
2016-09-28;Entreprises;14293482684.0
2016-09-26;Professionnels;3749157406.0
2016-09-25;PME / PMI;3012856686.0
2016-09-24;Entreprises;10067129010.0
2016-09-23;PME / PMI;4486623172.0
2016-09-22;Entreprises;14254092757.0
2016-09-22;Professionnels;3965484272.0
2016-09-21;Résidentiels;10916536208.0
2016-09-21;Entreprises;14189164790.0
2016-09-19;Professionnels;3741326126.0
2016-09-18;Entreprises;8547458050.0
2016-09-17;Entreprises;9867855877.0
2016-09-16;Entreprises;13762433927.0
2016-09-16;Professionnels;4001605746.0
2016-09-11;Professionnels;3049762275.0
2016-09-10;Entreprises;10369919608.0
2016-09-08;Entreprises;14711136017.0
2016-09-06;PME / PMI;5079794172.0
2016-09-04;Entreprises;9002325439.0
2016-09-03;Entreprises;10384801553.0
2016-09-01;Résidentiels;10776054965.0
2016-08-29;Résidentiels;10982450482.0
2016-08-23;Entreprises;13763981401.0
2016-08-17;PME / PMI;4885527328.0
2016-08-15;PME / PMI;3517015514.0
2016-08-14;Résidentiels;10902055750.0
2016-08-11;Professionnels;3605765563.0
2016-08-09;Professionnels;3606613219.0
2016-08-05;Entreprises;11787001460.0
2016-08-01;Entreprises;11793523473.0
2016-07-30;Résidentiels;11105910249.0
2016-07-29;Professionnels;3837079990.0
2016-07-24;Résidentiels;11213440098.0
2016-07-21;Résidentiels;10767119119.0
2016-07-19;Entreprises;15239900570.0
2016-07-17;Entreprises;9031086303.0
2016-07-17;PME / PMI;3605572261.0
2016-07-14;Professionnels;2889777028.0
2016-07-12;Professionnels;3927443762.0
2016-07-11;Entreprises;14016638494.0
2016-07-11;PME / PMI;5016923036.0
2016-07-08;PME / PMI;4878007798.0
2016-07-03;PME / PMI;3493829452.0
2016-07-02;Professionnels;3557181189.0
2016-07-01;Entreprises;14254609825.0
2016-06-28;PME / PMI;4803836857.0
2016-06-25;Résidentiels;11119599316.0
2016-06-23;Professionnels;3939341748.0
2016-06-20;PME / PMI;4839553930.0
2016-06-18;Entreprises;9796926078.0
2016-06-13;Professionnels;3675097699.0
2016-06-12;Résidentiels;11957388329.0
2016-06-12;PME / PMI;3297815104.0
2016-06-12;Professionnels;3006101546.0
2016-06-04;Professionnels;3735168136.0
2016-06-02;PME / PMI;5325499796.0
2016-06-01;Professionnels;4160490095.0
2016-05-28;Entreprises;9880259124.0
2016-05-23;Résidentiels;12922487888.0
2016-05-22;PME / PMI;3326964572.0
2016-05-22;Professionnels;3132042557.0
2016-05-21;Résidentiels;12296684028.0
2016-05-19;Professionnels;4201748539.0
2016-05-18;Entreprises;13937133569.0
2016-05-18;Professionnels;4028807794.0
2016-05-16;Entreprises;9681142796.0
2016-05-15;Professionnels;3183084151.0
2016-05-10;Résidentiels;11668650363.0
2016-05-10;Entreprises;13946353097.0
2016-05-08;Résidentiels;12841356669.0
2016-05-06;Professionnels;3676080622.0
2016-04-26;Professionnels;5127180926.0
2016-04-25;PME / PMI;5351339564.0
2016-04-25;Professionnels;4856414932.0
2016-04-23;Résidentiels;16125412859.0
2016-04-22;Résidentiels;13909099963.0
2016-04-21;PME / PMI;5124751543.0
2016-04-20;PME / PMI;5070266556.0
2016-04-17;Professionnels;3691262753.0
2016-04-15;Professionnels;4588760390.0
2016-04-12;Résidentiels;15185870128.0
2016-04-11;Professionnels;4536094924.0
2016-04-08;Résidentiels;18268273627.0
2016-04-08;PME / PMI;5492063428.0
2016-04-07;Résidentiels;17237185186.0
2016-04-06;Entreprises;14290910401.0
2016-04-05;Résidentiels;15850668990.0
2016-04-04;Entreprises;13435401402.0
2016-04-04;PME / PMI;5741594793.0
2016-04-01;Entreprises;14158876372.0
2016-03-28;Entreprises;10157973825.0
2016-03-27;Résidentiels;20039375677.0
2016-03-27;Entreprises;8911479318.0
2016-03-27;Professionnels;4165220377.0
2016-03-22;Entreprises;14708447258.0
2016-03-18;PME / PMI;5948343059.0
2016-03-17;Résidentiels;22392733261.0
2016-03-16;Professionnels;6118238036.0
2016-03-11;Professionnels;6224016060.0
2016-03-09;PME / PMI;6654876524.0
2016-03-08;Résidentiels;24921559626.0
2016-03-07;Entreprises;14712372917.0
2016-03-06;PME / PMI;4793610448.0
2016-02-29;Professionnels;6411403693.0
2016-02-28;Résidentiels;26807693623.0
2016-02-28;Entreprises;9705887056.0
2016-02-28;PME / PMI;4777092385.0
2016-02-26;Résidentiels;24071792222.0
2016-02-26;Professionnels;6293753621.0
2016-02-22;Professionnels;5579869569.0
2016-02-21;Résidentiels;22504522998.0
2016-02-21;Professionnels;4762372880.0
2016-02-20;Résidentiels;25352897681.0
2016-02-18;Résidentiels;26978046519.0
2016-02-18;PME / PMI;6668893630.0
2016-02-15;Entreprises;14717635987.0
2016-02-11;Entreprises;15267931639.0
2016-02-09;Professionnels;6364813766.0
2016-02-05;Résidentiels;21284563302.0
2016-02-04;Professionnels;6502526353.0
2016-02-03;Entreprises;15244229645.0
2016-01-31;Résidentiels;22647577031.0
2016-01-29;Résidentiels;22381069251.0
2016-01-25;Entreprises;14647427516.0
2016-01-24;PME / PMI;4407423290.0
2016-01-21;Résidentiels;28943532897.0
2016-01-20;Résidentiels;28534504783.0
2016-01-18;Entreprises;15111273535.0
2016-01-18;Professionnels;7248133742.0
2016-01-17;PME / PMI;4879759933.0
2016-01-13;Entreprises;15625467211.0
2016-01-12;Professionnels;6377851040.0
2016-01-09;Entreprises;10559387638.0
2016-01-08;PME / PMI;5609252368.0
2015-12-31;Résidentiels;21145667842.0
2015-12-26;Entreprises;8748420589.0
2015-12-26;Professionnels;4640546500.0
2015-12-25;Entreprises;8600066205.0
2015-12-21;PME / PMI;5667374188.0
2015-12-20;PME / PMI;4129041324.0
2015-12-19;PME / PMI;4610635459.0
2015-12-15;Résidentiels;21905618694.0
2015-12-14;Résidentiels;23305947053.0
2015-12-14;PME / PMI;6000499479.0
2015-12-12;Professionnels;5283110856.0
2015-12-08;Entreprises;15208242359.0
2015-12-04;PME / PMI;5986024091.0
2015-12-02;Résidentiels;20601385198.0
2015-12-02;Entreprises;15203515329.0
2015-11-30;Résidentiels;20909335006.0
2015-11-30;Entreprises;14572758693.0
2015-11-29;Résidentiels;24089710336.0
2015-11-29;PME / PMI;4225226920.0
2015-11-26;PME / PMI;6205829742.0
2015-11-25;Résidentiels;22966934494.0
2015-11-22;Professionnels;4879476743.0
2020-11-19;Professionnels;4787365223.0
2020-11-18;PME / PMI;4836153198.0
2020-11-15;Entreprises;8499519400.0
2020-11-14;Professionnels;3943251995.0
2020-11-11;Entreprises;10443635016.0
2020-11-09;Résidentiels;15885995180.0
2020-11-07;Professionnels;4093068341.0
2020-11-05;Professionnels;4862760618.0
2020-11-04;Entreprises;13716258166.0
2020-10-31;Résidentiels;17417555998.0
2020-10-31;Entreprises;9566032790.0
2020-10-30;Professionnels;4369957957.0
2020-10-27;Entreprises;13930665430.0
2020-10-21;PME / PMI;5087474818.0
2020-10-21;Professionnels;4619919098.0
2020-10-18;Entreprises;8800836914.0
2020-10-17;Résidentiels;19369685608.0
2020-10-17;Entreprises;9923090081.0
2020-10-13;Professionnels;5015602837.0
2020-10-11;Entreprises;8591270278.0
2020-10-10;Résidentiels;15859693048.0
2020-10-03;Professionnels;4215381068.0
2020-09-30;Résidentiels;13085870847.0
2020-09-29;Professionnels;4311970420.0
2020-09-27;PME / PMI;3365347357.0
2020-09-26;Résidentiels;14044325691.0
2020-09-25;Entreprises;13037850767.0
2020-09-24;PME / PMI;4980754275.0
2020-09-24;Professionnels;3979930460.0
2020-09-23;PME / PMI;4948575357.0
2020-09-21;PME / PMI;4939300847.0
2020-09-19;Entreprises;10040710695.0
2020-09-15;PME / PMI;5481553148.0
2020-09-13;Professionnels;3703178410.0
2020-09-09;Professionnels;4269910748.0
2020-09-06;Résidentiels;13385574515.0
2020-09-06;Professionnels;3483208261.0
2020-09-02;Entreprises;13499147850.0
2020-09-01;Résidentiels;12077228398.0
2020-09-01;Entreprises;13354900978.0
2020-08-30;Professionnels;3181728718.0
2020-08-29;PME / PMI;3978596192.0
2020-08-27;Résidentiels;11707647031.0
2020-08-25;Résidentiels;11537348774.0
2020-08-24;Professionnels;3759680075.0
2020-08-20;PME / PMI;5075890247.0
2020-08-19;Résidentiels;11541513728.0
2020-08-15;Professionnels;3648927365.0
2020-08-11;Professionnels;4260645766.0
2020-08-05;Entreprises;12094504590.0
2020-08-04;Entreprises;11912449020.0
2020-08-04;PME / PMI;5366451990.0
2020-08-02;PME / PMI;3853792460.0
2020-08-01;Professionnels;4089426033.0
2020-07-31;PME / PMI;5054599062.0
2020-07-27;PME / PMI;5027097458.0
2020-07-23;Professionnels;4115701491.0
2020-07-22;Professionnels;4031189798.0
2020-07-20;PME / PMI;5070621026.0
2020-07-19;Entreprises;8967288377.0
2020-07-15;Résidentiels;10981779814.0
2020-07-14;Professionnels;3280808965.0
2020-07-09;Entreprises;14481295387.0
2020-07-04;Professionnels;3538064961.0
2020-07-03;Entreprises;13269916227.0
2020-07-02;Professionnels;3926236799.0
2020-06-30;Résidentiels;10913091461.0
2020-06-29;Professionnels;3621169533.0
2020-06-21;Résidentiels;11901919924.0
2020-06-20;Entreprises;9150868103.0
2020-06-18;PME / PMI;4449068804.0
2020-06-17;Résidentiels;11210909770.0
2020-06-16;Entreprises;12822080570.0
2020-06-14;Entreprises;7841334229.0
2020-06-12;Entreprises;12103257239.0
2020-06-03;Entreprises;12906058707.0
2020-05-31;Résidentiels;11772873353.0
2020-05-31;Professionnels;2913305344.0
2020-05-29;PME / PMI;3991799318.0
2020-05-27;PME / PMI;4031755361.0
2020-05-26;Entreprises;12392647638.0
2020-05-22;Entreprises;9793542549.0
2020-05-20;Entreprises;11928349855.0
2020-05-19;Résidentiels;11741803098.0
2020-05-19;Entreprises;11901911162.0
2020-05-17;Entreprises;7587461867.0
2020-05-16;Résidentiels;13982359663.0
2020-05-08;PME / PMI;2525996933.0
2020-05-06;PME / PMI;3632351663.0
2020-05-05;Professionnels;3298473501.0
2020-05-04;Professionnels;3211668345.0
2020-05-03;Professionnels;3071295299.0
2020-05-02;Professionnels;3229503815.0
2020-04-28;PME / PMI;3603413747.0
2020-04-27;PME / PMI;3526000130.0
2020-04-27;Professionnels;3158451183.0
2020-04-26;PME / PMI;2526335774.0
2020-04-17;Entreprises;10568332254.0
2020-04-16;Résidentiels;13386934970.0
2020-04-14;PME / PMI;3792686869.0
2020-04-14;Professionnels;3435334489.0
2020-04-13;Professionnels;3081046789.0
2020-04-12;PME / PMI;2570820059.0
2020-04-11;Résidentiels;13479476149.0
2020-04-09;PME / PMI;3697107514.0
2020-04-09;Professionnels;3343789604.0
2020-04-06;Résidentiels;15855526098.0
2020-04-05;Entreprises;7563741742.0
2020-04-02;PME / PMI;4274216965.0
2020-03-31;Résidentiels;22143749531.0
2020-03-29;Professionnels;3834963569.0
2020-03-26;Résidentiels;21409202076.0
2020-03-22;Entreprises;7822387971.0
2020-03-20;Entreprises;10632919685.0
2020-03-20;PME / PMI;4231427845.0
2020-03-19;Résidentiels;16497290664.0
2020-03-18;Entreprises;11713336672.0
2020-03-18;Professionnels;3775639087.0
2020-03-16;Professionnels;4590830994.0
2020-03-10;Résidentiels;21323424301.0
2020-03-10;Entreprises;14488441185.0
2020-03-10;PME / PMI;5713004152.0
2020-03-09;Professionnels;5630653502.0
2020-03-07;Entreprises;10433278858.0
2020-03-04;PME / PMI;6330347165.0
2020-03-03;Professionnels;6173212457.0
2020-03-02;Entreprises;13879275916.0
2020-02-29;Professionnels;5190365725.0
2020-02-26;PME / PMI;6155827420.0
2020-02-24;Résidentiels;19453032374.0
2020-02-16;Professionnels;4428000679.0
2020-02-14;PME / PMI;6113996303.0
2020-02-13;Professionnels;6081380438.0
2020-02-12;Résidentiels;22865487752.0
2020-02-09;Professionnels;4810737831.0
2020-02-05;Résidentiels;22597525529.0
2020-02-03;Professionnels;5155143656.0
2020-02-02;Entreprises;9156564444.0
2020-02-01;Résidentiels;20502903588.0
2020-01-29;Résidentiels;23953989306.0
2020-01-29;Professionnels;6122493594.0
2020-01-27;Résidentiels;24342444312.0
2020-01-26;Résidentiels;26649351144.0
2020-01-25;Professionnels;6058643187.0
2020-01-21;Entreprises;15480247085.0
2020-01-19;Professionnels;5497890600.0
2020-01-17;Professionnels;5994984273.0
2020-01-15;Résidentiels;22540723364.0
2020-01-14;Résidentiels;23207262362.0
2020-01-12;Entreprises;9562087329.0
2020-01-05;PME / PMI;4802708408.0
2020-01-03;Résidentiels;24204076095.0
2020-01-03;PME / PMI;6260116397.0
2019-12-30;Résidentiels;27188008592.0
2019-12-29;PME / PMI;4766146531.0
2019-12-28;PME / PMI;5205986923.0
2019-12-28;Professionnels;5402103627.0
2019-12-23;PME / PMI;5859620746.0
2019-12-22;Entreprises;8998615306.0
2019-12-21;Résidentiels;21942384270.0
2019-12-15;PME / PMI;4346235388.0
2019-12-10;PME / PMI;6673841167.0
2019-12-10;Professionnels;6545247520.0
2019-12-06;Entreprises;14827618138.0
2019-12-05;Résidentiels;27878661096.0
2019-12-04;PME / PMI;7022380527.0
2019-12-01;Entreprises;9640478635.0
2019-12-01;PME / PMI;4552849996.0
2019-11-28;Résidentiels;19339678622.0
2019-11-23;PME / PMI;5053183500.0
2019-11-22;Professionnels;6048140618.0
2019-11-20;PME / PMI;6857112276.0
2019-11-18;Professionnels;6101322957.0
2019-11-14;Professionnels;6160997818.0
2019-11-13;Entreprises;14861937199.0
2019-11-13;PME / PMI;6506541329.0
2019-11-12;Entreprises;14230314743.0
2019-11-10;Résidentiels;23161158288.0
2019-11-10;Professionnels;4693557580.0
2019-11-05;Entreprises;14212477379.0
2019-11-04;Résidentiels;16423611379.0
2019-11-04;PME / PMI;5540127970.0
2019-11-03;PME / PMI;3781436427.0
2019-11-03;Professionnels;3923904814.0
2019-11-01;Entreprises;10419339429.0
2019-11-01;Professionnels;3999142720.0
2019-10-31;Résidentiels;15883396745.0
2019-10-29;Entreprises;14040991328.0
2019-10-28;Résidentiels;15832510345.0
2019-10-20;PME / PMI;3337599104.0
2019-10-18;Résidentiels;12911073181.0
2019-10-16;Entreprises;13956830892.0
2019-10-14;Entreprises;13212679150.0
2019-10-13;Entreprises;8680948616.0
2019-10-10;Résidentiels;12566932929.0
2019-10-10;PME / PMI;5157496781.0
2019-10-08;PME / PMI;5089252752.0
2019-10-07;Résidentiels;12763054428.0
2019-10-06;Entreprises;8545797884.0
2019-10-03;Résidentiels;11969402636.0
2019-09-28;Résidentiels;11480504733.0
2019-09-26;Entreprises;14173453719.0
2019-09-25;Entreprises;14064351423.0
2019-09-24;Résidentiels;10495536765.0
2019-09-24;PME / PMI;4903391735.0
2019-09-23;PME / PMI;4754768044.0
2019-09-20;Résidentiels;10564674891.0
2019-09-20;Professionnels;3958193473.0
2019-09-19;PME / PMI;4879646822.0
2019-09-18;Résidentiels;10592939873.0
2019-09-17;PME / PMI;4912800693.0
2019-09-11;Entreprises;13948927773.0
2019-09-10;Entreprises;13803950065.0
2019-09-09;PME / PMI;4761489362.0
2019-09-09;Professionnels;3717393039.0
2019-09-08;Professionnels;3127685309.0
2019-09-03;Résidentiels;10468656494.0
2019-09-03;PME / PMI;4860769037.0
2019-08-31;Résidentiels;11424768703.0
2019-08-29;Entreprises;14236142550.0
2019-08-28;Professionnels;3959493859.0
2019-08-24;Entreprises;9744575710.0
2019-08-20;PME / PMI;4693388977.0
2019-08-18;Résidentiels;11025276028.0
2019-08-18;Entreprises;8160597858.0
2019-08-11;Entreprises;8041807418.0
2019-08-11;Professionnels;3079527329.0
2019-08-09;Entreprises;12051228299.0
2019-08-08;Résidentiels;10490084840.0
2019-08-08;Entreprises;12190346218.0
2019-08-08;Professionnels;3758603804.0
2019-08-07;Entreprises;11989402552.0
2019-08-05;Professionnels;3583989810.0
2019-07-28;PME / PMI;3562938489.0
2019-07-28;Professionnels;3077283235.0
2019-07-25;Entreprises;15392585133.0
2019-07-24;Résidentiels;11989638303.0
2019-07-20;Professionnels;3697132591.0
2019-07-19;Professionnels;3996924227.0
2019-07-15;Professionnels;3609452322.0
2019-07-11;Entreprises;14934132755.0
2019-07-10;Résidentiels;10359008379.0
2019-07-06;PME / PMI;4406039328.0
2019-07-05;Entreprises;14876750187.0
2019-07-04;Entreprises;15147056492.0
2019-06-29;Entreprises;11253092179.0
2019-06-26;Entreprises;15371764576.0
2019-06-25;PME / PMI;5323139567.0
2019-06-24;Entreprises;13907369818.0
2019-06-21;Entreprises;13615708771.0
2019-06-19;Entreprises;14370291512.0
2019-06-17;Professionnels;3523487671.0
2019-06-16;Entreprises;8541428231.0
2019-06-15;Professionnels;3417295477.0
2019-06-14;PME / PMI;4943746638.0
2019-06-12;Professionnels;3770142482.0
2019-06-09;Professionnels;3069470184.0
2019-06-06;Professionnels;3703881777.0
2019-06-03;Professionnels;3541859114.0
2019-06-02;Entreprises;8711017751.0
2019-06-02;PME / PMI;3253194445.0
2019-06-02;Professionnels;3064466082.0
2019-05-30;Résidentiels;12063496975.0
2019-05-28;Résidentiels;11294673995.0
2019-05-28;Entreprises;13729553585.0
2019-05-24;Résidentiels;11087957892.0
2019-05-23;Résidentiels;11171729118.0
2019-05-22;Entreprises;13870053533.0
2019-05-20;Résidentiels;13448463937.0
2019-05-20;Professionnels;4031268041.0
2019-05-19;Résidentiels;14591342278.0
2019-05-17;Professionnels;4183431212.0
2019-05-16;Professionnels;4034049518.0
2019-05-14;Professionnels;4134987012.0
2019-05-13;PME / PMI;4959192156.0
2019-05-12;Entreprises;8499033729.0
2019-05-09;PME / PMI;5373954604.0
2019-05-07;Professionnels;4443999233.0
2019-05-06;Résidentiels;17293838731.0
2019-05-04;PME / PMI;4310413811.0
2019-05-03;Professionnels;4388822924.0
2019-05-01;Professionnels;3425878952.0
2019-04-29;Résidentiels;15562425821.0
2019-04-27;Professionnels;4090634821.0
2019-04-26;Professionnels;4421557090.0
2019-04-25;Entreprises;13830061828.0
2019-04-21;Professionnels;3373979634.0
2019-04-18;Résidentiels;13915646641.0
2019-04-18;PME / PMI;5065411456.0
